Carrera	        Ciclo	Estrato	peso	presion	edad
contabilidad	segundo	bajo	131.7	146.4	20.5
jurisprudencia	primero	alto	126.2	113.6	22.3
ingcomercial	primero	bajo	141.5	124.5	21.3
ingcomercial	primero	alto	159.7	121.9	19.4
jurisprudencia	segundo	alto	142.6	124.1	21.1
ingcomercial	segundo	alto	141.4	145.8	20.3
disenio	        segundo	alto	130.7	139	21.3
jurisprudencia	primero	alto	145	131.8	22.4
ingcomercial	tercero	alto	131.6	134.8	21.1
ingcomercial	tercero	alto	146.1	122.8	22.8
ingcomercial	primero	alto	148.1	127	19.8
disenio	        primero	alto	136.3	134.1	22
ingcomercial	tercero	alto	137.2	139.3	20.2
ingcomercial	primero	alto	162.3	127.2	21
disenio	        primero	alto	149.5	138.8	20.3
sistemas	tercero	alto	123.9	139	21.4
jurisprudencia	primero	alto	134.2	134	21.9
ingcomercial	primero	alto	161.8	115.6	18.7
ingcomercial	primero	alto	145.6	105.9	20.2
disenio	        primero	alto	148.1	116.5	18.3
jurisprudencia	primero	alto	156	124.1	20.3
jurisprudencia	segundo	alto	135.5	136.1	20.5
jurisprudencia	segundo	alto	150.3	143.7	22.9
jurisprudencia	primero	alto	146	128.7	22.8
ingcomercial	tercero	alto	158.5	144	21.4
jurisprudencia	tercero	medio	135	137.9	20.5
ingcomercial	primero	medio	153	127.7	23
ingcomercial	tercero	medio	156.6	122	19.8
disenio	segundo	medio	158.8	123.7	22.9
ingcomercial	tercero	medio	148.5	137.2	20.8
disenio	tercero	medio	137.1	134.4	19.6
jurisprudencia	segundo	medio	127.9	115.9	21.1
jurisprudencia	primero	medio	129.4	149.6	23
jurisprudencia	primero	medio	141.4	141.3	19.2
jurisprudencia	primero	medio	140.2	111.5	20.8
jurisprudencia	primero	medio	150.3	135.3	22.1
jurisprudencia	primero	medio	154.4	133.7	20.9
jurisprudencia	primero	medio	163	122.9	19.5
jurisprudencia	primero	medio	143.4	141.6	21.7
jurisprudencia	primero	medio	147.6	119.3	18.8
ingcomercial	segundo	medio	133.9	151.6	21
ingcomercial	primero	bajo	150.1	129.6	18.8
ingcomercial	primero	bajo	141	131.4	20.2
disenio	primero	medio	143.5	121.5	19.9
jurisprudencia	primero	medio	141.6	130.8	22.6
jurisprudencia	tercero	medio	143.4	136.8	19.6
jurisprudencia	segundo	medio	152	144.5	18.5
jurisprudencia	primero	bajo	143.1	145.5	19.8
jurisprudencia	primero	bajo	140.7	133.1	22.2
jurisprudencia	primero	bajo	162.7	140.8	22.5
jurisprudencia	tercero	bajo	138.1	130.1	18.5
jurisprudencia	tercero	bajo	149.5	127.6	21
jurisprudencia	segundo	bajo	150.3	147.3	20.6
jurisprudencia	tercero	bajo	152.7	137.1	21.4
jurisprudencia	segundo	bajo	140.2	136.4	19.5
contabilidad	primero	alto	132.3	139.3	18.1
contabilidad	primero	alto	157.7	130.9	22
ingcomercial	primero	alto	144.8	143.2	21.5
ingcomercial	primero	alto	159.3	130.3	21.7
ingcomercial	primero	alto	119.1	125.5	22.6
ingcomercial	primero	alto	130.6	120.4	21.5
ingcomercial	primero	alto	132.5	136.5	18.5
ingcomercial	primero	alto	137.6	125.2	22.8
ingcomercial	primero	alto	158.7	129.8	23
ingcomercial	primero	alto	132	129.3	18.1
ingcomercial	primero	alto	134	143.8	22.5
ingcomercial	segundo	alto	155.5	121.4	22.8
disenio	primero	alto	161.5	133.9	21.7
disenio	primero	alto	133.8	130.4	21.5
disenio	primero	alto	163.3	128.6	21.6
disenio	primero	alto	143.4	146.6	18.4
disenio	primero	alto	139.7	127.7	18.1
disenio	primero	alto	156	148.4	22.7
disenio	primero	alto	141.6	127.2	22.8
disenio	primero	alto	151.6	134.3	21
disenio	primero	alto	161.2	121.9	22.7
disenio	primero	alto	155.4	161.5	22.4
sistemas	primero	alto	145.5	124.8	20.3
jurisprudencia	tercero	alto	135.5	112.6	22.7
ingcomercial	primero	alto	142.9	127	18.5
